CSA,CBSA,Name,Metro /Micro Code,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,nan,Total_year_to_date,1 Unit_year_to_date,2 Units_year_to_date,3 and 4 Units_year_to_date,5 Units or More_year_to_date,Num of Structures With 5 Units or More_year_to_date
365,32580,"McAllen-Edinburg-Mission, TX                                ",2,698,397,60,204,37,7,,698,397,60,204,37,7
999,32620,"McComb, MS                                                  ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,32660,"McMinnville, TN                                             ",5,16,16,0,0,0,0,,16,16,0,0,0,0
999,32700,"McPherson, KS                                               ",5,4,2,2,0,0,0,,4,2,2,0,0,0
240,32740,"Meadville, PA                                               ",5,7,7,0,0,0,0,,7,7,0,0,0,0
366,32780,"Medford, OR                                                 ",2,83,83,0,0,0,0,,83,83,0,0,0,0
368,32820,"Memphis, TN-MS-AR                                           ",2,237,237,0,0,0,0,,237,237,0,0,0,0
232,32860,"Menomonie, WI                                               ",5,6,6,0,0,0,0,,6,6,0,0,0,0
488,32900,"Merced, CA                                                  ",2,34,34,0,0,0,0,,34,34,0,0,0,0
999,32940,"Meridian, MS                                                ",5,1,1,0,0,0,0,,1,1,0,0,0,0
190,33020,"Mexico, MO                                                  ",5,0,0,0,0,0,0,,0,0,0,0,0,0
309,33060,"Miami, OK                                                   ",5,0,0,0,0,0,0,,0,0,0,0,0,0
370,33100,"Miami-Fort Lauderdale-West Palm Beach, FL                   ",2,1118,345,38,16,719,27,,1118,345,38,16,719,27
176,33140,"Michigan City-La Porte, IN                                  ",2,17,11,0,0,6,1,,17,11,0,0,6,1
371,33180,"Middlesborough, KY                                          ",5,3,3,0,0,0,0,,3,3,0,0,0,0
474,33220,"Midland, MI                                                 ",2,6,6,0,0,0,0,,6,6,0,0,0,0
372,33260,"Midland, TX                                                 ",2,121,121,0,0,0,0,,121,121,0,0,0,0
999,33300,"Milledgeville, GA                                           ",5,3,3,0,0,0,0,,3,3,0,0,0,0
376,33340,"Milwaukee-Waukesha, WI                                      ",2,222,107,8,0,107,3,,222,107,8,0,107,3
508,33380,"Minden, LA                                                  ",5,5,5,0,0,0,0,,5,5,0,0,0,0
206,33420,"Mineral Wells, TX                                           ",5,2,2,0,0,0,0,,2,2,0,0,0,0
378,33460,"Minneapolis-St. Paul-Bloomington, MN-WI                     ",2,698,526,6,0,166,7,,698,526,6,0,166,7
999,33500,"Minot, ND                                                   ",4,4,4,0,0,0,0,,4,4,0,0,0,0
999,33540,"Missoula, MT                                                ",4,71,71,0,0,0,0,,71,71,0,0,0,0
999,33580,"Mitchell, SD                                                ",5,4,4,0,0,0,0,,4,4,0,0,0,0
190,33620,"Moberly, MO                                                 ",5,4,2,2,0,0,0,,4,2,2,0,0,0
380,33660,"Mobile, AL                                                  ",2,136,74,10,0,52,9,,136,74,10,0,52,9
488,33700,"Modesto, CA                                                 ",2,89,77,0,0,12,2,,89,77,0,0,12,2
384,33740,"Monroe, LA                                                  ",2,40,40,0,0,0,0,,40,40,0,0,0,0
220,33780,"Monroe, MI                                                  ",2,8,8,0,0,0,0,,8,8,0,0,0,0
388,33860,"Montgomery, AL                                              ",2,52,45,0,0,7,1,,52,45,0,0,7,1
320,33900,"Monticello, IN                                              ",5,3,3,0,0,0,0,,3,3,0,0,0,0
408,33910,"Monticello, NY                                              ",5,40,34,6,0,0,0,,40,34,6,0,0,0
999,33940,"Montrose, CO                                                ",5,26,18,8,0,0,0,,26,18,8,0,0,0
404,33980,"Morehead City, NC                                           ",5,41,41,0,0,0,0,,41,41,0,0,0,0
999,34020,"Morgan City, LA                                             ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,34060,"Morgantown, WV                                              ",4,5,5,0,0,0,0,,5,5,0,0,0,0
315,34100,"Morristown, TN                                              ",2,38,38,0,0,0,0,,38,38,0,0,0,0
446,34140,"Moscow, ID                                                  ",5,18,6,0,0,12,1,,18,6,0,0,12,1
393,34180,"Moses Lake, WA                                              ",5,40,38,2,0,0,0,,40,38,2,0,0,0
999,34220,"Moultrie, GA                                                ",5,8,6,2,0,0,0,,8,6,2,0,0,0
268,34340,"Mount Airy, NC                                              ",5,12,12,0,0,0,0,,12,12,0,0,0,0
394,34380,"Mount Pleasant, MI                                          ",5,1,1,0,0,0,0,,1,1,0,0,0,0
999,34420,"Mount Pleasant, TX                                          ",5,7,2,0,0,5,1,,7,2,0,0,5,1
336,34460,"Mount Sterling, KY                                          ",5,3,3,0,0,0,0,,3,3,0,0,0,0
999,34500,"Mount Vernon, IL                                            ",5,1,1,0,0,0,0,,1,1,0,0,0,0
198,34540,"Mount Vernon, OH                                            ",5,8,8,0,0,0,0,,8,8,0,0,0,0
500,34580,"Mount Vernon-Anacortes, WA                                  ",2,30,12,0,0,18,2,,30,12,0,0,18,2
999,34260,"Mountain Home, AR                                           ",5,6,1,0,0,5,1,,6,1,0,0,5,1
147,34300,"Mountain Home, ID                                           ",5,8,8,0,0,0,0,,8,8,0,0,0,0
294,34620,"Muncie, IN                                                  ",2,8,8,0,0,0,0,,8,8,0,0,0,0
999,34660,"Murray, KY                                                  ",5,1,1,0,0,0,0,,1,1,0,0,0,0
396,34680,"Murrells Inlet, SC                                          ",5,29,24,0,0,5,1,,29,24,0,0,5,1
209,34700,"Muscatine, IA                                               ",5,1,1,0,0,0,0,,1,1,0,0,0,0
266,34740,"Muskegon-Norton Shores, MI                                  ",2,15,15,0,0,0,0,,15,15,0,0,0,0
538,34780,"Muskogee, OK                                                ",5,11,11,0,0,0,0,,11,11,0,0,0,0
396,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC                  ",2,601,578,0,12,11,2,,601,578,0,12,11,2
999,34860,"Nacogdoches, TX                                             ",5,3,3,0,0,0,0,,3,3,0,0,0,0
999,34880,"Nantucket, MA                                               ",5,21,14,2,0,5,1,,21,14,2,0,5,1
488,34900,"Napa, CA                                                    ",2,27,27,0,0,0,0,,27,27,0,0,0,0
163,34940,"Naples-Marco Island, FL                                     ",2,294,225,2,4,63,4,,294,225,2,4,63,4
400,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN              ",2,1569,1011,0,0,558,20,,1569,1011,0,0,558,20
999,35020,"Natchez, MS-LA                                              ",5,4,4,0,0,0,0,,4,4,0,0,0,0
999,35060,"Natchitoches, LA                                            ",5,11,11,0,0,0,0,,11,11,0,0,0,0
404,35100,"New Bern, NC                                                ",5,30,30,0,0,0,0,,30,30,0,0,0,0
294,35220,"New Castle, IN                                              ",5,2,2,0,0,0,0,,2,2,0,0,0,0
405,35300,"New Haven, CT                                               ",2,35,14,8,7,6,1,,35,14,8,7,6,1
318,35340,"New Iberia, LA                                              ",5,9,9,0,0,0,0,,9,9,0,0,0,0
406,35380,"New Orleans-Metairie, LA                                    ",2,141,75,48,0,18,1,,141,75,48,0,18,1
184,35420,"New Philadelphia-Dover, OH                                  ",5,19,19,0,0,0,0,,19,19,0,0,0,0
359,35580,"New Ulm, MN                                                 ",5,0,0,0,0,0,0,,0,0,0,0,0,0
408,35620,"New York-Newark-Jersey City, NY-NJ                          ",2,4200,908,116,69,3107,98,,4200,908,116,69,3107,98
192,35140,"Newberry, SC                                                ",5,13,13,0,0,0,0,,13,13,0,0,0,0
999,35440,"Newport, OR                                                 ",5,13,13,0,0,0,0,,13,13,0,0,0,0
315,35460,"Newport, TN                                                 ",5,0,0,0,0,0,0,,0,0,0,0,0,0
515,35660,"Niles, MI                                                   ",2,14,9,0,0,5,1,,14,9,0,0,5,1
536,35700,"Nogales, AZ                                                 ",5,45,45,0,0,0,0,,45,45,0,0,0,0
999,35740,"Norfolk, NE                                                 ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,35820,"North Platte, NE                                            ",5,1,1,0,0,0,0,,1,1,0,0,0,0
412,35840,"North Port-Bradenton-Sarasota, FL                           ",2,1470,694,12,23,741,20,,1470,694,12,23,741,20
999,35900,"North Wilkesboro, NC                                        ",5,16,16,0,0,0,0,,16,16,0,0,0,0
184,35940,"Norwalk, OH                                                 ",5,1,1,0,0,0,0,,1,1,0,0,0,0
405,35980,"Norwich-New London-Willimantic, CT                          ",2,11,11,0,0,0,0,,11,11,0,0,0,0
500,36020,"Oak Harbor, WA                                              ",5,17,17,0,0,0,0,,17,17,0,0,0,0
999,36100,"Ocala, FL                                                   ",4,645,597,40,8,0,0,,645,597,40,8,0,0
480,36180,"Ocean Pines, MD                                             ",5,23,23,0,0,0,0,,23,23,0,0,0,0
372,36220,"Odessa, TX                                                  ",2,107,107,0,0,0,0,,107,107,0,0,0,0
482,36260,"Ogden, UT                                                   ",2,194,135,2,17,40,6,,194,135,2,17,40,6
999,36340,"Oil City, PA                                                ",5,2,2,0,0,0,0,,2,2,0,0,0,0
370,36380,"Okeechobee, FL                                              ",5,2,2,0,0,0,0,,2,2,0,0,0,0
416,36420,"Oklahoma City, OK                                           ",2,644,553,58,20,13,2,,644,553,58,20,13,2
160,36460,"Olean, NY                                                   ",5,4,4,0,0,0,0,,4,4,0,0,0,0
500,36500,"Olympia-Lacey-Tumwater, WA                                  ",2,256,53,0,0,203,10,,256,53,0,0,203,10
420,36540,"Omaha, NE-IA                                                ",2,766,337,6,48,375,4,,766,337,6,48,375,4
999,36580,"Oneonta, NY                                                 ",5,10,10,0,0,0,0,,10,10,0,0,0,0
147,36620,"Ontario, OR-ID                                              ",5,10,7,0,3,0,0,,10,7,0,3,0,0
318,36660,"Opelousas, LA                                               ",5,8,8,0,0,0,0,,8,8,0,0,0,0
192,36700,"Orangeburg, SC                                              ",5,7,7,0,0,0,0,,7,7,0,0,0,0
422,36740,"Orlando-Kissimmee-Sanford, FL                               ",2,3632,1393,24,12,2203,64,,3632,1393,24,12,2203,64
118,36780,"Oshkosh-Neenah, WI                                          ",2,15,13,2,0,0,0,,15,13,2,0,0,0
218,36820,"Oskaloosa, IA                                               ",5,0,0,0,0,0,0,,0,0,0,0,0,0
393,36830,"Othello, WA                                                 ",5,8,5,0,3,0,0,,8,5,0,3,0,0
176,36837,"Ottawa, IL                                                  ",5,3,3,0,0,0,0,,3,3,0,0,0,0
312,36840,"Ottawa, KS                                                  ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,36900,"Ottumwa, IA                                                 ",5,2,2,0,0,0,0,,2,2,0,0,0,0
378,36940,"Owatonna, MN                                                ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,36980,"Owensboro, KY                                               ",4,12,12,0,0,0,0,,12,12,0,0,0,0
330,37020,"Owosso, MI                                                  ",5,3,3,0,0,0,0,,3,3,0,0,0,0
999,37060,"Oxford, MS                                                  ",5,38,36,2,0,0,0,,38,36,2,0,0,0
348,37100,"Oxnard-Thousand Oaks-Ventura, CA                            ",2,32,27,0,0,5,1,,32,27,0,0,5,1
222,37120,"Ozark, AL                                                   ",5,1,1,0,0,0,0,,1,1,0,0,0,0
424,37140,"Paducah, KY-IL                                              ",2,19,17,2,0,0,0,,19,17,2,0,0,0
300,37260,"Palatka, FL                                                 ",5,4,4,0,0,0,0,,4,4,0,0,0,0
999,37300,"Palestine, TX                                               ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,37340,"Palm Bay-Melbourne-Titusville, FL                           ",4,446,278,0,12,156,1,,446,278,0,12,156,1
999,37420,"Pampa, TX                                                   ",5,1,1,0,0,0,0,,1,1,0,0,0,0
999,37460,"Panama City-Panama City Beach, FL                           ",4,198,144,0,0,54,6,,198,144,0,0,54,6
308,37500,"Paragould, AR                                               ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,37540,"Paris, TN                                                   ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,37580,"Paris, TX                                                   ",5,7,7,0,0,0,0,,7,7,0,0,0,0
425,37620,"Parkersburg-Vienna, WV                                      ",2,7,7,0,0,0,0,,7,7,0,0,0,0
429,37740,"Payson, AZ                                                  ",5,27,27,0,0,0,0,,27,27,0,0,0,0
218,37800,"Pella, IA                                                   ",5,3,3,0,0,0,0,,3,3,0,0,0,0
999,37860,"Pensacola-Ferry Pass-Brent, FL                              ",4,301,301,0,0,0,0,,301,301,0,0,0,0
427,37900,"Peoria, IL                                                  ",2,9,9,0,0,0,0,,9,9,0,0,0,0
294,37940,"Peru, IN                                                    ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,37950,"Petoskey, MI                                                ",5,5,5,0,0,0,0,,5,5,0,0,0,0
428,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD                 ",2,931,648,6,38,239,20,,931,648,6,38,239,20
429,38060,"Phoenix-Mesa-Chandler, AZ                                   ",2,2687,2493,102,4,88,7,,2687,2493,102,4,88,7
406,38100,"Picayune, MS                                                ",5,28,28,0,0,0,0,,28,28,0,0,0,0
999,38180,"Pierre, SD                                                  ",5,1,1,0,0,0,0,,1,1,0,0,0,0
999,38210,"Pikeville, KY                                               ",5,1,1,0,0,0,0,,1,1,0,0,0,0
340,38220,"Pine Bluff, AR                                              ",5,9,1,8,0,0,0,,9,1,8,0,0,0
246,38240,"Pinehurst-Southern Pines, NC                                ",2,90,90,0,0,0,0,,90,90,0,0,0,0
999,38260,"Pittsburg, KS                                               ",5,2,2,0,0,0,0,,2,2,0,0,0,0
430,38300,"Pittsburgh, PA                                              ",2,428,277,0,6,145,3,,428,277,0,6,145,3
999,38340,"Pittsfield, MA                                              ",4,10,8,2,0,0,0,,10,8,2,0,0,0
352,38380,"Plainview, TX                                               ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,38420,"Platteville, WI                                             ",5,7,7,0,0,0,0,,7,7,0,0,0,0
999,38460,"Plattsburgh, NY                                             ",5,11,6,0,0,5,1,,11,6,0,0,5,1
515,38500,"Plymouth, IN                                                ",5,7,7,0,0,0,0,,7,7,0,0,0,0
999,38540,"Pocatello, ID                                               ",4,19,17,2,0,0,0,,19,17,2,0,0,0
999,38620,"Ponca City, OK                                              ",5,0,0,0,0,0,0,,0,0,0,0,0,0
145,38700,"Pontiac, IL                                                 ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,38740,"Poplar Bluff, MO                                            ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,38820,"Port Angeles, WA                                            ",5,20,16,4,0,0,0,,20,16,4,0,0,0
544,38920,"Port Lavaca, TX                                             ",5,5,5,0,0,0,0,,5,5,0,0,0,0
370,38940,"Port St. Lucie, FL                                          ",2,851,409,0,0,442,35,,851,409,0,0,442,35
999,39040,"Port Townsend, WA                                           ",5,20,20,0,0,0,0,,20,20,0,0,0,0
438,38860,"Portland-South Portland, ME                                 ",2,315,117,12,3,183,6,,315,117,12,3,183,6
440,38900,"Portland-Vancouver-Hillsboro, OR-WA                         ",2,808,572,20,11,205,5,,808,572,20,11,205,5
170,39020,"Portsmouth, OH                                              ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,39060,"Pottsville, PA                                              ",5,9,9,0,0,0,0,,9,9,0,0,0,0
999,39150,"Prescott Valley-Prescott, AZ                                ",4,107,93,14,0,0,0,,107,93,14,0,0,0
999,39220,"Price, UT                                                   ",5,1,1,0,0,0,0,,1,1,0,0,0,0
148,39300,"Providence-Warwick, RI-MA                                   ",2,150,93,38,14,5,1,,150,93,38,14,5,1
482,39340,"Provo-Orem-Lehi, UT                                         ",2,494,448,0,4,42,6,,494,448,0,4,42,6
444,39380,"Pueblo, CO                                                  ",2,13,13,0,0,0,0,,13,13,0,0,0,0
446,39420,"Pullman, WA                                                 ",5,4,4,0,0,0,0,,4,4,0,0,0,0
412,39460,"Punta Gorda, FL                                             ",2,258,205,14,3,36,2,,258,205,14,3,36,2
405,39480,"Putnam, CT                                                  ",5,8,8,0,0,0,0,,8,8,0,0,0,0
448,39500,"Quincy, IL-MO                                               ",5,4,4,0,0,0,0,,4,4,0,0,0,0
376,39540,"Racine-Mount Pleasant, WI                                   ",2,50,21,0,0,29,2,,50,21,0,0,29,2
450,39580,"Raleigh-Cary, NC                                            ",2,1067,997,2,0,68,2,,1067,997,2,0,68,2
452,39660,"Rapid City, SD                                              ",2,70,64,6,0,0,0,,70,64,6,0,0,0
154,39700,"Raymondville, TX                                            ",5,5,5,0,0,0,0,,5,5,0,0,0,0
428,39740,"Reading, PA                                                 ",2,23,23,0,0,0,0,,23,23,0,0,0,0
454,39780,"Red Bluff, CA                                               ",5,13,13,0,0,0,0,,13,13,0,0,0,0
378,39860,"Red Wing, MN                                                ",5,4,4,0,0,0,0,,4,4,0,0,0,0
454,39820,"Redding, CA                                                 ",2,38,38,0,0,0,0,,38,38,0,0,0,0
456,39900,"Reno, NV                                                    ",2,452,213,2,3,234,9,,452,213,2,3,234,9
292,39940,"Rexburg, ID                                                 ",5,68,60,0,8,0,0,,68,60,0,8,0,0
999,39960,"Rice Lake, WI                                               ",5,6,1,0,0,5,1,,6,1,0,0,5,1
458,39980,"Richmond, IN                                                ",5,3,3,0,0,0,0,,3,3,0,0,0,0
999,40060,"Richmond, VA                                                ",4,1313,507,26,17,763,9,,1313,507,26,17,763,9
336,40080,"Richmond-Berea, KY                                          ",5,21,10,4,0,7,1,,21,10,4,0,7,1
233,40090,"Rifle, CO                                                   ",5,13,13,0,0,0,0,,13,13,0,0,0,0
365,40100,"Rio Grande City-Roma, TX                                    ",5,0,0,0,0,0,0,,0,0,0,0,0,0
348,40140,"Riverside-San Bernardino-Ontario, CA                        ",2,1161,978,16,25,142,10,,1161,978,16,25,142,10
999,40180,"Riverton, WY                                                ",5,1,1,0,0,0,0,,1,1,0,0,0,0
468,40260,"Roanoke Rapids, NC                                          ",5,6,6,0,0,0,0,,6,6,0,0,0,0
999,40220,"Roanoke, VA                                                 ",4,41,41,0,0,0,0,,41,41,0,0,0,0
466,40300,"Rochelle, IL                                                ",5,10,3,0,0,7,1,,10,3,0,0,7,1
462,40340,"Rochester, MN                                               ",2,33,33,0,0,0,0,,33,33,0,0,0,0
464,40380,"Rochester, NY                                               ",2,104,93,2,4,5,1,,104,93,2,4,5,1
999,40540,"Rock Springs, WY                                            ",5,8,8,0,0,0,0,,8,8,0,0,0,0
466,40420,"Rockford, IL                                                ",2,22,22,0,0,0,0,,22,22,0,0,0,0
246,40460,"Rockingham, NC                                              ",5,3,3,0,0,0,0,,3,3,0,0,0,0
468,40580,"Rocky Mount, NC                                             ",2,46,46,0,0,0,0,,46,46,0,0,0,0
999,40620,"Rolla, MO                                                   ",5,1,1,0,0,0,0,,1,1,0,0,0,0
122,40660,"Rome, GA                                                    ",2,13,13,0,0,0,0,,13,13,0,0,0,0
999,40700,"Roseburg, OR                                                ",5,11,11,0,0,0,0,,11,11,0,0,0,0
999,40740,"Roswell, NM                                                 ",5,7,7,0,0,0,0,,7,7,0,0,0,0
999,40760,"Ruidoso, NM                                                 ",5,6,6,0,0,0,0,,6,6,0,0,0,0
250,40770,"Russellville, AL                                            ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,40780,"Russellville, AR                                            ",5,5,5,0,0,0,0,,5,5,0,0,0,0
384,40820,"Ruston, LA                                                  ",5,8,8,0,0,0,0,,8,8,0,0,0,0
999,40860,"Rutland, VT                                                 ",5,2,2,0,0,0,0,,2,2,0,0,0,0
472,40900,"Sacramento-Roseville-Folsom, CA                             ",2,801,687,28,4,82,4,,801,687,28,4,82,4
999,40940,"Safford, AZ                                                 ",5,28,20,4,4,0,0,,28,20,4,4,0,0
474,40980,"Saginaw, MI                                                 ",2,10,10,0,0,0,0,,10,10,0,0,0,0
566,41400,"Salem, OH                                                   ",5,3,3,0,0,0,0,,3,3,0,0,0,0
440,41420,"Salem, OR                                                   ",2,83,74,4,0,5,1,,83,74,4,0,5,1
999,41460,"Salina, KS                                                  ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,41500,"Salinas, CA                                                 ",4,60,60,0,0,0,0,,60,60,0,0,0,0
480,41540,"Salisbury, MD                                               ",2,16,8,0,8,0,0,,16,8,0,8,0,0
482,41620,"Salt Lake City-Murray, UT                                   ",2,943,332,4,14,593,4,,943,332,4,14,593,4
999,41660,"San Angelo, TX                                              ",4,26,26,0,0,0,0,,26,26,0,0,0,0
484,41700,"San Antonio-New Braunfels, TX                               ",2,876,813,0,24,39,7,,876,813,0,24,39,7
999,41740,"San Diego-Chula Vista-Carlsbad, CA                          ",4,543,248,58,33,204,15,,543,248,58,33,204,15
488,41860,"San Francisco-Oakland-Fremont, CA                           ",2,565,174,8,6,377,16,,565,174,8,6,377,16
488,41940,"San Jose-Sunnyvale-Santa Clara, CA                          ",2,215,192,0,0,23,4,,215,192,0,0,23,4
999,42020,"San Luis Obispo-Paso Robles, CA                             ",4,46,41,0,0,5,1,,46,41,0,0,5,1
999,41760,"Sandpoint, ID                                               ",5,4,4,0,0,0,0,,4,4,0,0,0,0
184,41780,"Sandusky, OH                                                ",2,19,19,0,0,0,0,,19,19,0,0,0,0
450,41820,"Sanford, NC                                                 ",5,56,56,0,0,0,0,,56,56,0,0,0,0
488,42100,"Santa Cruz-Watsonville, CA                                  ",2,14,12,2,0,0,0,,14,12,2,0,0,0
105,42140,"Santa Fe, NM                                                ",2,29,29,0,0,0,0,,29,29,0,0,0,0
999,42200,"Santa Maria-Santa Barbara, CA                               ",4,37,37,0,0,0,0,,37,37,0,0,0,0
999,42220,"Santa Rosa-Petaluma, CA                                     ",4,85,80,0,0,5,1,,85,80,0,0,5,1
999,42300,"Sault Ste. Marie, MI                                        ",5,7,2,0,0,5,1,,7,2,0,0,5,1
496,42340,"Savannah, GA                                                ",2,371,274,2,0,95,3,,371,274,2,0,95,3
999,42380,"Sayre, PA                                                   ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,42420,"Scottsbluff, NE                                             ",5,1,1,0,0,0,0,,1,1,0,0,0,0
174,42460,"Scottsboro, AL                                              ",5,3,3,0,0,0,0,,3,3,0,0,0,0
999,42540,"Scranton--Wilkes-Barre, PA                                  ",4,34,34,0,0,0,0,,34,34,0,0,0,0
999,42580,"Seaford, DE                                                 ",5,324,312,12,0,0,0,,324,312,12,0,0,0
340,42620,"Searcy, AR                                                  ",5,17,17,0,0,0,0,,17,17,0,0,0,0
500,42660,"Seattle-Tacoma-Bellevue, WA                                 ",2,1203,528,68,78,529,24,,1203,528,68,78,529,24
370,42680,"Sebastian-Vero Beach-West Vero Corridor, FL                 ",2,10,10,0,0,0,0,,10,10,0,0,0,0
999,42700,"Sebring-, FL                                                ",4,54,54,0,0,0,0,,54,54,0,0,0,0
999,42740,"Sedalia, MO                                                 ",5,6,1,0,0,5,1,,6,1,0,0,5,1
146,42780,"Selinsgrove, PA                                             ",5,3,3,0,0,0,0,,3,3,0,0,0,0
388,42820,"Selma, AL                                                   ",5,1,1,0,0,0,0,,1,1,0,0,0,0
464,42900,"Seneca Falls, NY                                            ",5,2,2,0,0,0,0,,2,2,0,0,0,0
273,42860,"Seneca, SC                                                  ",5,70,70,0,0,0,0,,70,70,0,0,0,0
315,42940,"Sevierville, TN                                             ",5,89,75,0,0,14,2,,89,75,0,0,14,2
294,42980,"Seymour, IN                                                 ",5,5,5,0,0,0,0,,5,5,0,0,0,0
267,43020,"Shawano, WI                                                 ",5,6,6,0,0,0,0,,6,6,0,0,0,0
416,43060,"Shawnee, OK                                                 ",5,15,9,6,0,0,0,,15,9,6,0,0,0
999,43100,"Sheboygan, WI                                               ",4,13,11,2,0,0,0,,13,11,2,0,0,0
172,43140,"Shelby-Kings Mountain, NC                                   ",5,49,25,0,0,24,1,,49,25,0,0,24,1
400,43180,"Shelbyville, TN                                             ",5,18,18,0,0,0,0,,18,18,0,0,0,0
500,43220,"Shelton, WA                                                 ",5,9,9,0,0,0,0,,9,9,0,0,0,0
999,43260,"Sheridan, WY                                                ",5,17,13,0,4,0,0,,17,13,0,4,0,0
206,43300,"Sherman-Denison, TX                                         ",2,431,127,4,0,300,4,,431,127,4,0,300,4
999,43320,"Show Low, AZ                                                ",5,39,37,2,0,0,0,,39,37,2,0,0,0
508,43340,"Shreveport-Bossier City, LA                                 ",2,73,73,0,0,0,0,,73,73,0,0,0,0
212,43380,"Sidney, OH                                                  ",5,6,6,0,0,0,0,,6,6,0,0,0,0
999,43420,"Sierra Vista-Douglas, AZ                                    ",4,37,37,0,0,0,0,,37,37,0,0,0,0
164,43460,"Sikeston, MO                                                ",5,2,2,0,0,0,0,,2,2,0,0,0,0
512,43580,"Sioux City, IA-NE-SD                                        ",2,12,12,0,0,0,0,,12,12,0,0,0,0
999,43620,"Sioux Falls, SD-MN                                          ",4,216,19,2,0,195,11,,216,19,2,0,195,11
406,43640,"Slidell-Mandeville-Covington, LA                            ",2,91,89,2,0,0,0,,91,89,2,0,0,0
999,43660,"Snyder, TX                                                  ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,43700,"Somerset, KY                                                ",5,25,1,0,0,24,3,,25,1,0,0,24,3
306,43740,"Somerset, PA                                                ",5,5,5,0,0,0,0,,5,5,0,0,0,0
999,43760,"Sonora, CA                                                  ",5,4,4,0,0,0,0,,4,4,0,0,0,0
515,43780,"South Bend-Mishawaka, IN-MI                                 ",2,25,23,2,0,0,0,,25,23,2,0,0,0
317,43890,"Sparta, WI                                                  ",5,6,6,0,0,0,0,,6,6,0,0,0,0
273,43900,"Spartanburg, SC                                             ",2,272,267,0,0,5,1,,272,267,0,0,5,1
452,43940,"Spearfish, SD                                               ",5,22,12,2,0,8,1,,22,12,2,0,8,1
517,43980,"Spencer, IA                                                 ",5,1,1,0,0,0,0,,1,1,0,0,0,0
517,44020,"Spirit Lake, IA                                             ",5,10,10,0,0,0,0,,10,10,0,0,0,0
518,44060,"Spokane-Spokane Valley, WA                                  ",2,119,88,6,7,18,1,,119,88,6,7,18,1
522,44100,"Springfield, IL                                             ",2,10,8,2,0,0,0,,10,8,2,0,0,0
521,44140,"Springfield, MA                                             ",2,18,16,2,0,0,0,,18,16,2,0,0,0
999,44180,"Springfield, MO                                             ",4,136,123,10,3,0,0,,136,123,10,3,0,0
212,44220,"Springfield, OH                                             ",2,7,7,0,0,0,0,,7,7,0,0,0,0
378,41060,"St. Cloud, MN                                               ",2,113,12,0,0,101,2,,113,12,0,0,101,2
999,41100,"St. George, UT                                              ",4,182,182,0,0,0,0,,182,182,0,0,0,0
312,41140,"St. Joseph, MO-KS                                           ",2,6,4,2,0,0,0,,6,4,2,0,0,0
476,41180,"St. Louis, MO-IL                                            ",2,385,263,40,8,74,7,,385,263,40,8,74,7
999,41260,"St. Marys, PA                                               ",5,3,3,0,0,0,0,,3,3,0,0,0,0
523,44260,"Starkville, MS                                              ",5,6,6,0,0,0,0,,6,6,0,0,0,0
524,44300,"State College, PA                                           ",2,26,20,6,0,0,0,,26,20,6,0,0,0
496,44340,"Statesboro, GA                                              ",5,92,92,0,0,0,0,,92,92,0,0,0,0
277,44420,"Staunton-Stuarts Draft, VA                                  ",2,40,40,0,0,0,0,,40,40,0,0,0,0
999,44460,"Steamboat Springs, CO                                       ",5,6,6,0,0,0,0,,6,6,0,0,0,0
999,44500,"Stephenville, TX                                            ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,44540,"Sterling, CO                                                ",5,0,0,0,0,0,0,,0,0,0,0,0,0
221,44580,"Sterling, IL                                                ",5,1,1,0,0,0,0,,1,1,0,0,0,0
554,44620,"Stevens Point-Plover, WI                                    ",5,8,6,2,0,0,0,,8,6,2,0,0,0
999,44660,"Stillwater, OK                                              ",5,19,15,4,0,0,0,,19,15,4,0,0,0
488,44700,"Stockton-Lodi, CA                                           ",2,207,207,0,0,0,0,,207,207,0,0,0,0
999,44740,"Storm Lake, IA                                              ",5,1,1,0,0,0,0,,1,1,0,0,0,0
310,44780,"Sturgis, MI                                                 ",5,8,8,0,0,0,0,,8,8,0,0,0,0
